id,height,diameter,color,pattern,weight
1,9.644750987,4.84108102,pink,zigzag,41.24969717
2,9.906921491,5.007712503,yellow,zigzag,56.85176161
3,9.489962134,5.575678277,yellow,zigzag,57.01725359
4,6.71741187,6.327295754,pink,striped,30.67201569
5,8.074666461,6.266828179,purple,zigzag,49.78716991
6,9.769373906,6.440128515,green,solid,47.82356347
7,10.91704404,7.560410454,yellow,striped,47.28488229
8,7.292012832,4.436307217,pink,striped,28.49934408
9,5.830610294,5.034080486,orange,solid,47.85989574
10,9.758757257,4.552413947,pink,solid,40.3572678
11,11.83236131,6.051636534,yellow,striped,44.84877945
12,7.854128816,6.779724435,purple,spotted,47.79284794
13,11.83361157,6.566546227,green,solid,48.75580265
14,10.30668662,5.835091745,orange,zigzag,54.13204512
15,10.20820451,5.231278236,yellow,striped,43.65690285
16,9.678045523,6.831349856,blue,spotted,51.69833732
17,7.019954657,5.25378575,green,zigzag,46.75091761
18,11.40627984,5.334278265,yellow,zigzag,59.27282626
19,7.481819329,6.040435752,green,spotted,44.26892944
20,9.977786314,6.218938041,purple,striped,39.08518362
21,8.463309466,5.210922211,yellow,zigzag,56.60769513
22,8.99269172,5.83456281,pink,striped,29.04445857
23,9.979157106,4.685363529,pink,solid,38.42720489
24,10.80902628,7.107869099,purple,zigzag,53.05262136
25,11.32864775,6.781805631,yellow,zigzag,59.85575462
26,11.80986021,5.383657176,purple,zigzag,50.05881139
27,6.013157223,4.476011253,yellow,solid,54.43427838
28,7.992312262,6.294621913,orange,spotted,47.95561852
29,10.84525046,6.01965735,orange,solid,51.79605616
30,9.434379752,7.326334607,purple,spotted,49.24306858
31,7.943874116,6.621791942,yellow,solid,56.35861892
32,9.419904303,5.790898967,blue,solid,53.76292309
33,9.404509835,6.674768366,yellow,striped,45.74938399
34,10.14347363,6.175634437,green,striped,33.80337359
35,9.014264262,5.306178917,purple,solid,48.21252943
36,6.410684503,8.202814041,green,striped,38.94837898
37,9.988066921,6.712368204,yellow,spotted,54.819797
38,13.6983315,7.019454907,pink,spotted,39.95249409
39,7.690077393,4.847688309,blue,striped,41.30347008
40,11.32982993,6.241832894,green,spotted,45.04685622
41,11.13561004,7.109488223,yellow,striped,46.60364824
42,9.615427772,5.349369947,orange,striped,41.31402772
43,8.480772462,4.670562757,green,spotted,42.0054786
44,10.77877453,6.741585973,green,solid,46.89289743
45,11.12961254,8.029735809,pink,striped,29.72905914
46,11.00244214,5.229950666,pink,solid,41.10007238
47,9.875765498,3.561023643,orange,solid,47.56652008
48,6.926941855,6.275505892,yellow,zigzag,57.5880749
49,10.55963249,6.284904598,orange,solid,53.99197646
50,13.0065152,8.007634987,green,zigzag,53.26290561
51,7.948264821,5.999935906,pink,spotted,39.30607348
52,8.372411839,6.971967293,purple,zigzag,52.21066041
53,7.552453444,4.913826096,blue,striped,43.42070712
54,12.21567656,7.546978179,green,spotted,46.78614016
55,13.0359052,8.273977441,purple,striped,38.73200151
56,8.921654076,5.828435624,green,solid,46.24788983
57,9.014141488,6.998328526,yellow,striped,46.71615553
58,11.14247915,7.169001837,yellow,solid,59.01900969
59,10.0882372,5.632930911,purple,zigzag,51.55694355
60,8.778097765,6.557899259,pink,zigzag,42.95687716
61,7.91160882,6.657855467,pink,spotted,40.2672283
62,13.10159496,4.552171235,orange,striped,36.05596889
63,10.32077348,5.610590119,pink,zigzag,41.92018051
64,8.219353725,6.51329383,green,spotted,44.5157218
65,10.01609995,5.944593973,orange,zigzag,53.1822713
66,8.480224013,5.738336872,yellow,solid,55.40083874
67,13.90089178,5.388741445,green,solid,49.117664
68,10.17513698,3.613467155,yellow,solid,52.80847718
69,10.50590142,6.219272753,orange,spotted,49.74029587
70,12.22582937,4.902694505,purple,solid,49.65977278
71,14.88990767,6.828142915,purple,striped,37.09681248
72,8.440176278,5.103963132,purple,solid,48.61422727
73,10.97665055,5.738620543,pink,spotted,37.34727676
74,9.244421494,5.63783566,blue,spotted,49.48729839
75,6.514896505,7.801139027,yellow,solid,56.57301259
76,5.825419694,7.040767214,pink,striped,31.26226797
77,8.646203997,6.491446689,pink,zigzag,43.01630227
78,5.136319878,4.422229857,green,zigzag,44.46421278
79,12.76991641,4.873359874,purple,striped,32.67505952
80,11.20163053,6.404754358,yellow,spotted,55.17087639
81,13.19462554,6.206695868,pink,striped,28.99915142
82,8.544467022,5.523636664,purple,striped,38.37348069
83,13.79544047,7.754169335,blue,solid,55.90066644
84,12.86536552,5.934658694,pink,spotted,37.18986603
85,9.305800509,6.533163252,pink,zigzag,42.325008
86,11.61458099,6.885603857,pink,spotted,40.51873341
87,8.66125121,5.117387961,green,spotted,42.99809571
